Rank,Frequency,Lemma,WordType
1455,77.31,означать,verb
1465,76.76,говориться,verb
1467,76.70,испытывать,verb
1469,76.57,жениться,verb
1473,76.39,оглянуться,verb
1474,76.33,пригласить,verb
1477,76.27,принадлежать,verb
1482,76.09,строить,verb
1484,75.84,перейти,verb
1489,75.60,повезти,verb
1491,75.47,поглядеть,verb
1495,75.35,повернуть,verb
1497,75.17,добраться,verb
1499,75.04,признать,verb
1500,74.92,поступить,verb
1504,74.74,торопиться,verb
1515,74.37,вынуть,verb
1518,74.31,стоить,verb
1526,73.45,полагать,verb
1530,73.33,послушать,verb
1533,73.21,отметить,verb
1541,72.96,утверждать,verb
1544,72.72,отличаться,verb
1548,72.47,выскочить,verb
1551,72.35,приезжать,verb
1552,72.35,катить,verb
1558,71.74,расти,verb
1561,71.62,вернуть,verb
1562,71.62,зависеть,verb
1566,71.49,познакомиться,verb
1568,71.37,жалить,verb
1569,71.37,найтись,verb
1570,71.31,делаться,verb
1571,71.25,догадаться,verb
1573,71.19,прожить,verb
1575,70.88,гулять,verb
1577,70.76,разобраться,verb
1578,70.64,обращать,verb
1586,70.39,отдавать,verb
1587,70.33,сходить,verb
1589,70.27,звучать,verb
1591,70.21,волноваться,verb
1601,69.90,подать,verb
1603,69.84,готовить,verb
1605,69.78,жалеть,verb
1608,69.78,врать,verb
1609,69.66,возразить,verb
1613,69.47,готовиться,verb
1616,69.29,превратиться,verb
1619,69.29,терпеть,verb
1620,69.23,махнуть,verb
1624,68.92,определить,verb
1625,68.92,выпустить,verb
1627,68.92,выступать,verb
1638,68.13,рассматривать,verb
1639,68.13,отойти,verb
1640,68.07,вырасти,verb
1647,67.82,перевести,verb
1650,67.76,посадить,verb
1653,67.64,орать,verb
1655,67.45,обойтись,verb
1662,67.27,выдать,verb
1664,67.15,воевать,verb
1665,67.09,останавливаться,verb
1667,66.96,обладать,verb
1668,66.90,продать,verb
1669,66.78,спорить,verb
1674,66.72,полезть,verb
1676,66.66,выполнять,verb
1677,66.66,требоваться,verb
1679,66.60,умирать,verb
1681,66.54,дойти,verb
1682,66.54,успокоиться,verb
1687,66.35,приближаться,verb
1692,66.29,летать,verb
1694,66.17,убивать,verb
1698,66.05,двинуться,verb
1700,65.99,спуститься,verb
1708,65.68,установить,verb
1709,65.68,забывать,verb
1710,65.62,позвать,verb
1714,65.37,испугаться,verb
1719,65.19,съесть,verb
1720,65.13,прочесть,verb
1723,65.07,задуматься,verb
1724,64.94,решать,verb
1726,64.94,подарить,verb
1727,64.88,измениться,verb
1737,64.39,приводить,verb
1738,64.33,удивляться,verb
1741,64.33,забрать,verb
1745,64.27,занять,verb
1747,64.27,доказать,verb
1750,64.09,варить,verb
1755,63.78,изменить,verb
1758,63.60,ловить,verb
1760,63.41,стремиться,verb
1762,63.35,тянуться,verb
1773,63.11,заставлять,verb
1775,62.99,страдать,verb
1780,62.74,записать,verb
1790,62.37,интересовать,verb
1794,62.13,включить,verb
1795,62.07,поразить,verb
1800,61.82,помолчать,verb
1803,61.70,открыться,verb
1816,61.21,направить,verb
1818,61.15,запомнить,verb
1819,61.09,бороться,verb
1820,61.03,везти,verb
1828,60.66,научиться,verb
1830,60.54,назначить,verb
1832,60.54,выбирать,verb
1838,60.42,напомнить,verb
1839,60.42,сомневаться,verb
1841,60.29,радоваться,verb
1842,60.23,покрыть,verb
1843,60.17,глянуть,verb
1846,60.11,захватить,verb
1849,60.05,приносить,verb
1857,59.86,составить,verb
1869,59.37,костить,verb
1871,59.25,покупать,verb
1881,58.95,стучать,verb
1888,58.70,менять,verb
1891,58.64,разглядывать,verb
1896,58.52,закурить,verb
1898,58.46,устать,verb
1899,58.40,прикрыть,verb
1902,58.33,замолчать,verb
1903,58.27,завести,verb
1904,58.27,прибыть,verb
1908,58.15,подтвердить,verb
1912,58.03,сойти,verb
1913,57.91,поступать,verb
1915,57.78,валить,verb
1926,57.48,надоесть,verb
1929,57.35,вывести,verb
1930,57.35,прыгать,verb
1931,57.35,создавать,verb
1934,57.17,убедиться,verb
1935,57.17,ненавидеть,verb
1946,56.86,исчезать,verb
1949,56.68,ощущать,verb
1950,56.68,тащить,verb
1959,56.25,скрывать,verb
1960,56.25,совершить,verb
1964,56.25,замереть,verb
1966,56.07,подавать,verb
1973,55.76,произвести,verb
1974,55.70,дождаться,verb
1976,55.70,плыть,verb
1985,55.46,выполнить,verb
1988,55.33,направиться,verb
1992,55.27,шутить,verb
1994,55.21,случаться,verb
1995,55.21,спрятать,verb
1996,55.21,предстоять,verb
2003,55.03,кормить,verb
2004,55.03,продолжаться,verb
2009,54.91,отдыхать,verb
2014,54.84,сдать,verb
2016,54.84,жаловаться,verb
2019,54.72,решиться,verb
2021,54.72,сделаться,verb
2023,54.66,наступать,verb
2024,54.60,скрыться,verb
2029,54.54,уезжать,verb
2030,54.48,заняться,verb
2037,54.23,переходить,verb
2039,54.23,попадать,verb
2048,53.99,уважать,verb
2049,53.93,женить,verb
2051,53.93,ложиться,verb
2068,53.50,расположить,verb
2069,53.44,посидеть,verb
2070,53.44,налить,verb
2072,53.31,сообразить,verb
2077,53.25,удаваться,verb
2080,53.13,послышаться,verb
2085,53.01,указать,verb
2090,52.89,повести,verb
2094,52.82,подхватить,verb
2098,52.70,устраивать,verb
2100,52.58,участвовать,verb
2105,52.46,сохранить,verb
2107,52.34,закрывать,verb
2111,52.27,понадобиться,verb
2113,52.21,покачать,verb
2114,52.09,выясниться,verb
2115,52.09,уничтожить,verb
2116,52.03,отвести,verb
2118,51.97,бродить,verb
2122,51.66,валяться,verb
2128,51.48,произносить,verb
2132,51.23,предупредить,verb
2133,51.17,добиться,verb
2140,51.11,убрать,verb
2144,50.93,поддерживать,verb
2145,50.93,продавать,verb
2149,50.81,повесить,verb
2152,50.68,оглядываться,verb
2155,50.68,сыграть,verb
2157,50.62,услать,verb
2158,50.56,махать,verb
2160,50.56,предполагать,verb
2169,50.07,рассчитывать,verb
2170,50.07,запретить,verb
2173,49.95,сообщать,verb
2175,49.95,перебить,verb
2182,49.83,обидеться,verb
2186,49.64,вынести,verb
2191,49.58,поглядывать,verb
2193,49.58,отозваться,verb
2197,49.58,обрадоваться,verb
2199,49.52,попасться,verb
2201,49.52,пробормотать,verb
2202,49.46,покинуть,verb
2207,49.34,кончить,verb
2212,49.27,применять,verb
2216,49.15,доложить,verb
2218,49.09,меняться,verb
2224,49.09,гнать,verb
2225,49.03,выяснить,verb
2226,49.03,драться,verb
2229,48.97,захотеться,verb
2231,48.91,производить,verb
2234,48.91,заснуть,verb
2235,48.91,свернуть,verb
2237,48.85,подозревать,verb
2239,48.79,спускаться,verb
2242,48.79,договориться,verb
2246,48.60,проверять,verb
2247,48.54,присесть,verb
2255,48.36,пропустить,verb
2260,48.23,распахнуть,verb
2265,48.17,ползти,verb
2266,48.17,выбраться,verb
2274,48.05,погодить,verb
2280,47.81,опуститься,verb
2291,47.50,прекратить,verb
2293,47.50,справиться,verb
2297,47.44,прислушиваться,verb
2300,47.32,постараться,verb
2307,47.19,изучать,verb
2309,47.19,пилить,verb
2314,47.01,подписать,verb
2316,46.95,посылать,verb
2324,46.77,танцевать,verb
2330,46.70,подобрать,verb
2332,46.70,осветить,verb
2343,46.52,приобрести,verb
2347,46.40,поинтересоваться,verb
2349,46.40,заорать,verb
2350,46.40,трогать,verb
2351,46.34,задержать,verb
2356,46.28,потребовать,verb
2359,46.28,блестеть,verb
2371,45.91,усесться,verb
2372,45.91,сиять,verb
2375,45.79,вырваться,verb
2376,45.79,отвернуться,verb
2378,45.72,закончиться,verb
2383,45.60,бормотать,verb
2385,45.48,состояться,verb
2389,45.30,поправить,verb
2393,45.30,ощутить,verb
2394,45.23,беспокоиться,verb
2396,45.23,задавать,verb
2397,45.23,выдавать,verb
2398,45.23,полететь,verb
2400,45.17,отдохнуть,verb
2406,44.99,отказываться,verb
2412,44.75,пояснить,verb
2416,44.68,прощать,verb
2419,44.62,шуметь,verb
2427,44.50,доноситься,verb
2429,44.44,описать,verb
2433,44.38,класть,verb
2434,44.38,шагать,verb
2438,44.32,победить,verb
2439,44.32,плавать,verb
2446,44.19,разобрать,verb
2457,44.07,потянуться,verb
2460,44.01,предположить,verb
2465,43.89,доставить,verb
2466,43.83,ошибиться,verb
2467,43.83,разбудить,verb
2471,43.77,прятать,verb
2473,43.70,водить,verb
2475,43.64,пробовать,verb
2476,43.64,заплатить,verb
2485,43.46,обнять,verb
2487,43.46,заглядывать,verb
2492,43.34,выбросить,verb
2494,43.28,устроиться,verb
2496,43.28,оценить,verb
2498,43.28,хлопнуть,verb
2499,43.28,родить,verb
2500,43.28,уставиться,verb
2506,43.15,слышаться,verb
2508,43.15,представляться,verb
2510,43.03,обеспечить,verb
2513,42.97,биться,verb
2514,42.97,достигнуть,verb
2515,42.91,выпускать,verb
2518,42.85,приготовить,verb
2523,42.73,развиваться,verb
2526,42.60,пожалеть,verb
2529,42.60,обойти,verb
2530,42.60,оторвать,verb
2533,42.54,заключаться,verb
2534,42.48,организовать,verb
2536,42.48,приглашать,verb
2540,42.36,поддержать,verb
2541,42.36,сбить,verb
2542,42.36,заработать,verb
2544,42.30,течь,verb
2547,42.30,последовать,verb
2554,42.17,полагаться,verb
2555,42.17,доставать,verb
2556,42.17,продолжить,verb
2564,42.05,указывать,verb
2567,41.99,сложиться,verb
2575,41.87,набрать,verb
2577,41.87,предпочитать,verb
2579,41.87,научить,verb
2590,41.75,интересоваться,verb
2591,41.75,расстрелять,verb
2592,41.62,побывать,verb
2594,41.62,заплакать,verb
2595,41.56,окружить,verb
2599,41.50,раскрыть,verb
2606,41.44,развести,verb
2620,41.26,переживать,verb
2622,41.26,украсть,verb
2623,41.19,слыхать,verb
2628,41.13,успевать,verb
2629,41.13,пережить,verb
2632,41.07,возражать,verb
2641,40.95,потянуть,verb
2642,40.95,сорвать,verb
2649,40.77,уснуть,verb
2653,40.77,сопровождать,verb
2654,40.71,открываться,verb
2659,40.58,подготовить,verb
2661,40.58,защищать,verb
2664,40.52,ломать,verb
2669,40.52,вступить,verb
2671,40.52,выставить,verb
2672,40.46,прижать,verb
2674,40.46,передавать,verb
2675,40.46,догадываться,verb
2679,40.46,выступить,verb
2680,40.40,отрезать,verb
2687,40.34,хохотать,verb
2689,40.34,разглядеть,verb
2691,40.28,разбираться,verb
2696,40.22,воспользоваться,verb
2698,40.22,достаться,verb
2709,40.03,бросаться,verb
2724,39.85,исключить,verb
2725,39.85,провожать,verb
2728,39.79,прошептать,verb
2732,39.73,осмотреть,verb
2735,39.60,вздрогнуть,verb
2738,39.60,посвятить,verb
2739,39.60,перенести,verb
2744,39.48,прервать,verb
2747,39.42,освободить,verb
2756,39.30,учесть,verb
2757,39.24,походить,verb
2759,39.24,подвести,verb
2760,39.17,рваться,verb
2763,39.17,дожидаться,verb
2766,39.11,кивать,verb
2768,39.05,сбежать,verb
2771,39.05,ввести,verb
2780,38.99,определять,verb
2785,38.81,допустить,verb
2786,38.75,сбросить,verb
2788,38.75,полюбить,verb
2790,38.69,содержать,verb
2800,38.56,превращаться,verb
2803,38.50,поцеловать,verb
2805,38.44,арестовать,verb
2806,38.44,оглядеть,verb
2811,38.38,рвать,verb
2812,38.32,шевелиться,verb
2814,38.32,рухнуть,verb
2816,38.32,кончаться,verb
2817,38.26,успокоить,verb
2818,38.20,рассуждать,verb
2825,38.13,постучать,verb
2832,38.01,доказывать,verb
2834,37.95,вытянуть,verb
2838,37.89,сложить,verb
2841,37.83,ранить,verb
2843,37.77,засыпать,verb
2844,37.77,доходить,verb
2848,37.64,командовать,verb
2850,37.64,сломать,verb
2852,37.64,сорваться,verb
2853,37.58,развернуть,verb
2859,37.52,грозить,verb
2860,37.46,обмануть,verb
2862,37.40,посоветовать,verb
2864,37.40,разойтись,verb
2866,37.34,убежать,verb
2870,37.28,сохраниться,verb
2871,37.22,помешать,verb
2875,37.09,рассмеяться,verb
2877,37.03,светиться,verb
2882,36.97,вспыхнуть,verb
2886,36.91,целовать,verb
2890,36.85,нажать,verb
2891,36.85,заказать,verb
2892,36.85,соответствовать,verb
2893,36.85,решаться,verb
2894,36.85,болтать,verb
2897,36.79,нестись,verb
2914,36.54,владеть,verb
2919,36.48,заменить,verb
2924,36.42,кончать,verb
2926,36.36,соображать,verb
2927,36.36,соглашаться,verb
2930,36.30,прятаться,verb
2932,36.30,попадаться,verb
2937,36.18,изображать,verb
2938,36.18,выражать,verb
2939,36.18,образоваться,verb
2940,36.18,способствовать,verb
2942,36.11,заложить,verb
2944,36.11,исходить,verb
2946,36.11,окончить,verb
2954,36.05,вылезть,verb
2955,35.99,выпасть,verb
2958,35.99,обсуждать,verb
2959,35.99,очнуться,verb
2960,35.99,рисковать,verb
2962,35.99,гордиться,verb
2965,35.93,выразить,verb
2970,35.81,миновать,verb
2973,35.75,спасать,verb
2976,35.69,отходить,verb
2979,35.69,запереть,verb
2985,35.56,предупреждать,verb
2989,35.56,отыскать,verb
2990,35.56,оборачиваться,verb
2995,35.44,охватить,verb
2996,35.44,благодарить,verb
2997,35.44,вздыхать,verb
3000,35.44,рисовать,verb
3001,35.38,беседовать,verb
3002,35.38,надеть,verb
3005,35.38,заключить,verb
3009,35.32,гудеть,verb
3013,35.26,угадать,verb
3016,35.26,кинуться,verb
3020,35.20,испытать,verb
3026,35.14,покраснеть,verb
3028,35.14,возиться,verb
3029,35.14,хранить,verb
3031,35.07,сменить,verb
3032,35.07,приподнять,verb
3033,35.07,шагнуть,verb
3036,35.01,браться,verb
3037,35.01,задумываться,verb
3042,34.89,отсутствовать,verb
3044,34.89,догнать,verb
3048,34.83,ночевать,verb
3049,34.83,выехать,verb
3056,34.77,жевать,verb
3064,34.65,пропадать,verb
3067,34.65,просыпаться,verb
3075,34.46,резать,verb
3076,34.46,тронуть,verb
3079,34.46,виднеться,verb
3091,34.34,советовать,verb
3094,34.34,свалиться,verb
3095,34.34,проявить,verb
3096,34.34,сметь,verb
3099,34.28,поделать,verb
3100,34.22,толкнуть,verb
3103,34.22,лечить,verb
3105,34.16,ругаться,verb
3109,34.16,уложить,verb
3112,34.16,завидовать,verb
3115,34.09,хлопать,verb
3116,34.09,вытереть,verb
3118,34.03,заслужить,verb
3120,34.03,довести,verb
3124,33.97,трястись,verb
3126,33.97,присутствовать,verb
3136,33.85,вырвать,verb
3139,33.79,мелькнуть,verb
3144,33.73,наклониться,verb
3145,33.73,стесняться,verb
3147,33.67,превратить,verb
3148,33.67,обижаться,verb
3149,33.67,накрыть,verb
3150,33.67,таскать,verb
3151,33.67,вставить,verb
3153,33.67,застыть,verb
3156,33.60,залить,verb
3160,33.54,мчаться,verb
3167,33.48,сжечь,verb
3168,33.48,опасаться,verb
3173,33.42,удержаться,verb
3174,33.42,подослать,verb
3177,33.42,пообещать,verb
3179,33.36,заболеть,verb
3180,33.36,потрясти,verb
3183,33.30,поворачиваться,verb
3185,33.30,записывать,verb
3187,33.24,щелкнуть,verb
3199,33.18,наполнить,verb
3202,33.12,проехать,verb
3203,33.12,отобрать,verb
3211,32.99,разрушить,verb
3215,32.99,выслушать,verb
3217,32.99,прыгнуть,verb
3221,32.93,доверять,verb
3225,32.87,нарушить,verb
3235,32.81,сдавать,verb
3238,32.75,тратить,verb
3240,32.75,совершать,verb
3241,32.69,нарисовать,verb
3242,32.69,сниться,verb
3250,32.56,попалить,verb
3251,32.56,переставать,verb
3257,32.50,понести,verb
3258,32.50,нуждаться,verb
3260,32.50,выпилить,verb
3262,32.50,сердиться,verb
3265,32.50,соединить,verb
3267,32.38,ошибаться,verb
3271,32.32,задать,verb
3272,32.32,наблюдаться,verb
3274,32.32,растеряться,verb
3275,32.26,промолчать,verb
3276,32.26,выражаться,verb
3290,32.07,выиграть,verb
3293,32.07,удивить,verb
3297,32.01,включать,verb
3301,32.01,клясться,verb
3303,32.01,пожелать,verb
3305,31.95,приниматься,verb
3306,31.95,приложить,verb
3308,31.95,кинуть,verb
3310,31.95,жрать,verb
3314,31.89,оторваться,verb
3316,31.89,пугать,verb
3318,31.83,сверкать,verb
3322,31.83,поесть,verb
3326,31.71,отправляться,verb
3328,31.71,изобразить,verb
3334,31.65,высказать,verb
3345,31.58,спалить,verb
3358,31.40,шептать,verb
3363,31.34,испортить,verb
3368,31.34,мучить,verb
3369,31.34,надевать,verb
3372,31.28,вылететь,verb
3375,31.22,видеться,verb
3377,31.22,охранять,verb
3382,31.16,скрываться,verb
3384,31.16,влезть,verb
3385,31.16,трясти,verb
3387,31.10,приблизиться,verb
3389,31.10,настаивать,verb
3399,30.97,выжить,verb
3401,30.97,покидать,verb
3410,30.85,протягивать,verb
3411,30.85,торговать,verb
3413,30.85,отстать,verb
3416,30.79,исполнить,verb
3424,30.79,раздаваться,verb
3425,30.79,мучиться,verb
3429,30.73,забросить,verb
3430,30.73,счесть,verb
3436,30.67,использоваться,verb
3437,30.67,извиняться,verb
3438,30.61,представиться,verb
3440,30.61,уверять,verb
3443,30.61,отнять,verb
3452,30.48,рассмотреть,verb
3453,30.48,учитывать,verb
3457,30.48,греметь,verb
3458,30.42,оглядеться,verb
3462,30.42,ступать,verb
3463,30.42,сгореть,verb
3469,30.36,погаснуть,verb
3474,30.36,нанести,verb
3478,30.30,вытирать,verb
3481,30.30,осознать,verb
3482,30.24,пройтись,verb
3486,30.24,годиться,verb
3489,30.18,заполнить,verb
3491,30.18,раздражать,verb
3497,30.12,отказать,verb
3498,30.12,отложить,verb
3499,30.12,свести,verb
3500,30.12,зарабатывать,verb
3501,30.12,рвануть,verb
3507,29.99,отмечать,verb
3508,29.99,поклониться,verb
3509,29.99,докладывать,verb
3510,29.99,отнести,verb
3512,29.99,привязать,verb
3516,29.93,ткнуть,verb
3519,29.93,зажать,verb
3529,29.81,дернуть,verb
3531,29.75,возить,verb
3534,29.75,размышлять,verb
3536,29.69,катиться,verb
3541,29.69,разбить,verb
3544,29.56,обидеть,verb
3545,29.56,коснуться,verb
3549,29.50,выделить,verb
3550,29.50,помереть,verb
3552,29.50,ругать,verb
3558,29.44,беспокоить,verb
3559,29.44,восстановить,verb
3562,29.44,достигать,verb
3568,29.38,волновать,verb
3574,29.32,задержаться,verb
3576,29.32,стукнуть,verb
3582,29.26,подчеркнуть,verb
3584,29.26,набирать,verb
3585,29.26,разделить,verb
3589,29.20,исполнять,verb
3591,29.14,плюнуть,verb
3592,29.08,придавать,verb
3595,29.08,извлечь,verb
